Carrier code,Carrier integration code,Carrier integration name,CR's,DM id,DM status,Last release date,MPM id,MPM status,Last release date,Status
"DELHIVERY","DEL01","Delhivery",0,"","not available","","DEL-01","active",2018-01-18 00:00:00.0,Released
"DHL_BD","DHL46","DHL Blue Dart",0,"","not available","","DHL-46","active",2018-02-19 00:00:00.0,Released
"DPD_UK","DPD09","DPD Mail International",0,"","not available","","DPD-09","active",1990-01-01 10:03:09.0,Released
"JLP_MULTI_PURP","JL02","JL Multi Purpose",0,"","not available","","JL-02","active",2016-06-27 00:00:00.0,Released
"RM","RM03","Royal Mail Domestic and International",0,"","not available","","RM-03","deprecated",2025-01-13 14:13:19.0,Released
"JLP_C_AND_C","JL01","JL Click and Collect",0,"","not available","","JL-01","active",1990-01-01 10:03:09.0,Released
"CLIPPER","CL01","Clipper",0,"","not available","","CL-01","active",1990-01-01 10:03:09.0,Released
"HER_HES","HES01","Hes",0,"","not available","","HES-01","deprecated",2018-02-13 00:00:00.0,Released
"RHENUS","RL02","Rhenus Logistics",0,"","not available","","RL-02","active",1990-01-01 10:03:10.0,Released
"MP_GEN","G01","Genereller Speditionsversand",0,"","not available","","G-01","active",1990-01-01 10:03:10.0,Released
"DE_POST","DP02","Deutsche Post Brief National",0,"","not available","","DP-02","deprecated",1990-01-01 10:03:11.0,Released
"YODEL","HDNL01","YODEL - Home Delivery Network (HDNL)",0,"","not available","","HDNL-01","deprecated",2018-04-11 00:00:00.0,Released
"NIGHTLINE","NL01","Nightline",0,"","not available","","NL-01","deprecated",1990-01-01 10:03:11.0,Released
"WHISTL","WH01","WhistlInsight",0,"","not available","","WH-01","active",1990-01-01 10:03:11.0,Released
"HER_DE","H02","Hermes Versand",0,"","not available","","H-02","active",2018-03-05 00:00:00.0,Released
"COLISSIMO","LP03","La Poste ColiPoste SO Colissimo",0,"","not available","","LP-03","deprecated",2021-12-16 00:00:00.0,Released
"DHL_EXP","DHL19","DHL Italy",0,"","not available","","DHL-19","active",1990-01-01 10:03:15.0,Released
"HANJIN","HAN01","Hanjin",0,"","not available","","HAN-01","active",1990-01-01 10:03:15.0,Released
"WND","WND01","Generic Asendia (WN)",0,"","not available","","WND-01","active",1990-01-01 10:03:15.0,Released
"SG_POST","SGP01","Singapore Post",0,"","not available","","SGP-01","deprecated",1990-01-01 10:03:15.0,Released
"ARAMEX","AR01","Aramex",0,"","not available","","AR-01","deprecated",1990-01-01 10:03:15.0,Released
"DM_CON","DM001","Delivery Manager",0,"","not available","","DM-001","active",1990-01-01 10:03:16.0,Released
"MP_GEN","G02","Genereller Speditionsversand (Bordero EDI)",0,"","not available","","G-02","deprecated",1990-01-01 10:03:16.0,Released
"CZ_POST","CP01","Ceska Posta",0,"","not available","","CP-01","active",1990-01-01 10:03:16.0,Released
"PL_POST","PL01","Poczta Polska",0,"","not available","","PL-01","deprecated",1990-01-01 10:03:16.0,Released
"DPD_EUR","DPD04","DPD Polska Distribution",0,"","not available","","DPD-04","active",2017-01-23 00:00:00.0,Released
"DHL_PAK","DHL21","DHL Weltpaket",0,"","not available","","DHL-21","active",2019-06-21 00:00:00.0,Released
"COLISSIMO","LP02","La Poste COLISSIMO OM",0,"","not available","","LP-02","deprecated",1990-01-01 10:03:17.0,Released
"DHL_PAK","DHL35","DHL Amsel Retoure",0,"","not available","","DHL-35","deprecated",1990-01-01 10:03:17.0,Released
"GLS","ASM01","GLS Spain",0,"","not available","","ASM-01","active",2018-03-23 00:00:00.0,Released
"DHL_PAK","DHL16","DHL Paket (GK) Prod. Abrechnung",0,"","not available","","DHL-16","deprecated",1990-01-01 10:03:17.0,Released
"MOND_REL","MR01","Mondial Relay (Obsolete)",0,"","not available","","MR-01","deprecated",1990-01-01 00:00:00.0,Released
"IDS","IDS02","IDS Logistik",0,"","not available","","IDS-02","active",1990-01-01 10:03:18.0,Released
"DE_POST","DP01","Deutsche Post Brief International",0,"","not available","","DP-01","deprecated",1990-01-01 10:03:18.0,Released
"POST_AT","PAT03","Österreichische Post AG - Paket Premium Österreich",0,"","not available","","PAT-03","active",1990-01-01 10:03:18.0,Released
"DHL_EXP","DHL12","DHL Express National",0,"","not available","","DHL-12","deprecated",1990-01-01 10:03:18.0,Released
"HER_DE","H07","Hermes European Routing Service",0,"","not available","","H-07","deprecated",2014-07-24 00:00:00.0,Released
"HER_AT","H06","Hermes AT",0,"","not available","","H-06","active",1990-01-01 10:03:18.0,Released
"DHL_FRG","DHL27","DHL Freight",0,"","not available","","DHL-27","active",2018-12-07 00:00:00.0,Released
"LOGWIN","LW01","Logwin",0,"","not available","","LW-01","active",1990-01-01 10:03:18.0,Released
"DHL_PAK","DHL20","DHL Zweimannhandling",0,"","not available","","DHL-20","deprecated",1990-01-01 10:03:18.0,Released
"PSK","PSK01","PSK - Post Speditions Kompanie",0,"","not available","","PSK-01","active",2017-06-22 00:00:00.0,Released
"DHL_ECOMM","DHL26","Parcel4U",0,"","not available","","DHL-26","active",1990-01-01 10:03:18.0,Released
"TOF","TOF02","trans-o-flex - Europe",0,"","not available","","TOF-02","active",1990-01-01 10:03:18.0,Released
"EMAKERS","EM01","Emakers",0,"","not available","","EM-01","active",2016-09-20 00:00:00.0,Released
"DHL_PAK","DHL38","DHL Kurier",0,"","not available","","DHL-38","deprecated",1990-01-01 10:03:18.0,Released
"RHENUS","RL01","Rhenus PL",0,"","not available","","RL-01","deprecated",2016-09-19 00:00:00.0,Released
"COLISSIMO","LP04","La Poste Colissimo International",0,"","not available","","LP-04","deprecated",2017-11-05 00:00:00.0,Released
"LA_POSTE_LET","LP05","La Poste Lettre",0,"","not available","","LP-05","active",1990-01-01 10:03:19.0,Released
"AU_AIR_EX","AAE01","AustralianAirExpress",0,"","not available","","AAE-01","deprecated",1990-01-01 10:03:19.0,Released
"HAFELE_OF","HAA01","SpeditionHAA",0,"","not available","","HAA-01","active",1990-01-01 10:03:19.0,Released
"AU_POST","STE01","Star Track Express",0,"","not available","","STE-01","active",1990-01-01 10:03:19.0,Released
"TOLL","TEXP01","Toll Express",0,"","not available","","TEXP-01","deprecated",1990-01-01 10:03:19.0,Released
"TOLL","TNQX01","Toll NQX",0,"","not available","","TNQX-01","deprecated",1990-01-01 10:03:19.0,Released
"TOLL","TTS01","Toll Tasmania",0,"","not available","","TTS-01","deprecated",1990-01-01 10:03:19.0,Released
"WILDENHOFER","WILD01","SpeditionWildenhofer",0,"","not available","","WILD-01","active",1990-01-01 10:03:19.0,Released
"HAFELE_OF","GHDE","Generic Logistic Provider Module (Hafele)",0,"","not available","","G-HDE","active",1990-01-01 10:03:19.0,Released
"FREJA","FR01","Freja",0,"","not available","","FR-01","deprecated",1990-01-01 10:03:19.0,Released
"DB_SCH","SCH03","DB Schenker - Joyau",0,"","not available","","SCH-03","active",1990-01-01 10:03:19.0,Released
"DHL_EXP","DHL17","DHL Polska",0,"","not available","","DHL-17","deprecated",2018-10-17 00:00:00.0,Released
"RABEN","RA01","Raben Polska",0,"","not available","","RA-01","active",1990-01-01 10:03:19.0,Released
"DHL_EXP","DHL34","DHL Express Spain - Economy Select",0,"","not available","","DHL-34","deprecated",1990-01-01 10:03:19.0,Released
"KIALA","K01","Kiala Benelux",0,"","not available","","K-01","deprecated",1990-01-01 10:03:19.0,Released
"HER_HES","H05","Hermes Einrichtungsservice",0,"","not available","","H-05","deprecated",1990-01-01 10:03:19.0,Released
"KIALA","K02","Kiala FR",0,"","not available","","K-02","deprecated",1990-01-01 10:03:19.0,Released
"KIALA","K04","Kiala ES",0,"","not available","","K-04","deprecated",1990-01-01 10:03:20.0,Released
"POCZTEX","PL02","Pocztex - Poczta Polska Courier Service",0,"","not available","","PL-02","deprecated",1990-01-01 10:03:20.0,Released
"POSTNORD","PSE01","Posten Sweden",0,"","not available","","PSE-01","deprecated",2018-10-23 00:00:00.0,Released
"PSK","PEK01","PEK - Post Speditions Kompanie",0,"","not available","","PEK-01","deprecated",1990-01-01 10:03:20.0,Released
"TNT_EX","TNT02","TNT Express Germany",0,"","not available","","TNT-02","active",1990-01-01 10:03:20.0,Released
"DB_SCH","SCH02","Spedition DB Schenker Germany",0,"","not available","","SCH-02","active",1990-01-01 10:03:20.0,Released
"PUR","PR01","Purolator",1,"","not available","","PR-01","active",2018-03-27 00:00:00.0,Released
"HEPPNER","HEPP01","Spedition Heppner",0,"","not available","","HEPP-01","active",1990-01-01 10:03:20.0,Released
"ATS","ATS01","ATS Healthcare",0,"","not available","","ATS-01","active",2014-10-27 00:00:00.0,Released
"DPD_FR","EX02","DPD France",0,"","not available","","EX-02","active",2018-10-18 00:00:00.0,Released
"INTEGRA2","INT01","Integra2",0,"","not available","","INT-01","active",1990-01-01 10:03:20.0,Released
"POST_AT","PAT04","Österreichische Post AG - Paket Premium International",0,"","not available","","PAT-04","active",1990-01-01 10:03:20.0,Released
"ANDREANI","AN01","Andreani",0,"","not available","","AN-01","active",1990-01-01 10:03:20.0,Released
"CALBERSON","CA01","Calberson",0,"","not available","","CA-01","deprecated",1990-01-01 10:03:20.0,Released
"SOUTO","SO01","Souto",0,"","not available","","SO-01","deprecated",1990-01-01 10:03:20.0,Released
"MIDLAND_COUR","MD01","Midland Courier",0,"","not available","","MD-01","active",2016-05-13 00:00:00.0,Released
"DHL_PAK","DHL44","DHL Paket Austria",0,"","not available","","DHL-44","deprecated",2017-01-02 00:00:00.0,Released
"POSTNORD","PSE02","Posten Sweden Varubrev",0,"","not available","","PSE-02","deprecated",2018-10-23 00:00:00.0,Released
"SWIPBOX","SB01","SwipBox Denmark",0,"","not available","","SB-01","active",1990-01-01 10:03:20.0,Released
"CORREOS","C03","Correos Mail",0,"","not available","","C-03","deprecated",1990-01-01 10:03:20.0,Released
"CTT_COR_MAIL","CTT01","CTT Correios",0,"","not available","","CTT-01","deprecated",1990-01-01 10:03:21.0,Released
"POST_AT","PAT05","Österreichische Post AG - EMS Inland",0,"","not available","","PAT-05","active",1990-01-01 10:03:21.0,Released
"ZELERIS","ZEL01","Zeleris",0,"","not available","","ZEL-01","active",2018-05-24 00:00:00.0,Released
"DE_POST","DP03","Deutsche Post C2C",0,"","not available","","DP-03","deprecated",2018-05-18 00:00:00.0,Released
"LIEFERY","LF01","Liefery",1,"394","deleted",1990-01-01 00:02:56.0,"LF-01","deprecated",2018-02-28 00:00:00.0,Released
"ZUST","ZUS01","Zust Ambrosetti",0,"","not available","","ZUS-01","active",2018-06-29 00:00:00.0,Released
"AGEDISS","A01","Agediss",0,"","not available","","A-01","active",2019-04-30 00:00:00.0,Released
